term,estimate_log_odds,std_error,z_value,p_value,estimate,conf_low,conf_high,outcome,outcome_label,term_clean
(Intercept),-1.1227952141481552,0.09599450902730544,-11.696452490097933,1.3289377516767096e-31,0.3253690461862998,0.26956534463593723,0.3927248747763144,supp_comp,Comprehensive Support,Intercept
close_catDistant,-0.48237359500847354,0.4178961571737488,-1.1542905736936866,0.2483810597884613,0.61731639235606,0.2721368911313285,1.4003229282412826,supp_comp,Comprehensive Support,Closeness: Distant (vs. Close)
close_catLess Close,-1.4667853087221545,0.17094543301280632,-8.580429923578425,9.451919874440929e-18,0.23066581396518024,0.16499528893021612,0.3224741632151852,supp_comp,Comprehensive Support,Closeness: Less Close (vs. Close)
close_catEspecially Close,1.9589310906041695,0.04777930025022557,40.99957681140215,0,7.091742582037396,6.4577674501711355,7.787956633302063,supp_comp,Comprehensive Support,Closeness: Especially Close (vs. Close)
freq_catLess than Monthly,-0.3057659178911198,0.1587080701271696,-1.9265933839792502,0.05403032381686663,0.7365590145654518,0.5396504114133484,1.0053159795000761,supp_comp,Comprehensive Support,Frequency: Less than Monthly (vs. Weekly)
freq_catMonthly,-0.11633608631706965,0.06813860445362603,-1.7073447166979476,0.08775799926902719,0.890175997044974,0.7788882075511028,1.0173646205357696,supp_comp,Comprehensive Support,Frequency: Monthly (vs. Weekly)
freq_catDaily,0.20256573393484828,0.04392544567526837,4.611580618495584,3.996186134318561e-6,1.224540576346848,1.1235258944658364,1.3346373505995475,supp_comp,Comprehensive Support,Frequency: Daily (vs. Weekly)
pos_catTop 5,0.30587185799808203,0.041274902779568474,7.410601537491493,1.2572781607013683e-13,1.3578083031253738,1.2522889647337825,1.472218824852567,supp_comp,Comprehensive Support,Salience: Top 5 (vs. Middle 10)
pos_catBottom 5,-0.22066933947029882,0.07206615056443377,-3.062038665059543,0.0021983505416884102,0.8019818201856037,0.6963387727743134,0.9236522007035645,supp_comp,Comprehensive Support,Salience: Bottom 5 (vs. Middle 10)
duration_cat< 2 Years,-0.428909767110552,0.05171643989371441,-8.293489806955591,1.0997336619678277e-16,0.6512186878738787,0.588443720304733,0.7206904667392119,supp_comp,Comprehensive Support,Duration: < 2 Years (vs. 2-4 Years)
duration_cat5-10 Years,0.7441040371273743,0.07110181202753056,10.465331556378025,1.2463942046746627e-25,2.1045549868815483,1.8307843572650304,2.419264549225562,supp_comp,Comprehensive Support,Duration: 5-10 Years (vs. 2-4 Years)
duration_cat> 10 Years,0.8636044062218788,0.09812161888572511,8.80136728306179,1.3515921706459635e-18,2.3716938540632455,1.9567521514537705,2.8746265760956615,supp_comp,Comprehensive Support,Duration: > 10 Years (vs. 2-4 Years)
role_catFamily,-0.6208043759391301,0.09220870085686018,-6.732600830184489,1.6665681720489617e-11,0.5375119020164121,0.448640477782738,0.6439879126314926,supp_comp,Comprehensive Support,Role: Family (vs. Friend)
role_catRomantic Partner,1.6492990222564419,0.12391572627088068,13.309844294105675,2.029041518898714e-40,5.203331129187287,4.081335236665452,6.633773819101929,supp_comp,Comprehensive Support,Role: Romantic Partner (vs. Friend)
role_catAcquaintance,-0.8228917621683428,0.3529221911948932,-2.331652082806886,0.019719001515738962,0.4391598706442389,0.2198918912294966,0.877073687919575,supp_comp,Comprehensive Support,Role: Acquaintance (vs. Friend)
role_catOther,-1.0399603708516951,0.21933895508556958,-4.741339131692229,2.123102007375641e-6,0.3534686893443391,0.22995659096200868,0.5433204320177383,supp_comp,Comprehensive Support,Role: Other (vs. Friend)
ego_genderMen,-1.4047204173465901,0.11178767640476388,-12.565968472771006,3.2487236938083975e-36,0.2454356664162597,0.19714332768128387,0.30555772319405955,supp_comp,Comprehensive Support,Ego Gender: Men (vs. Women)
same_dormTRUE,0.08414896832231393,0.06234269124247334,1.3497808106330873,0.17708630191759567,1.0877909281291278,0.9626718276564455,1.2291718416655657,supp_comp,Comprehensive Support,Context: Same Dormitory
roommateTRUE,0.15702017462095338,0.07919731670084483,1.9826451344819158,0.04740708207461977,1.170019218357046,1.0017950430516844,1.3664920592486962,supp_comp,Comprehensive Support,Context: Roommate
(Intercept),0.5461648731811546,0.08577563441276657,6.367366174791767,1.923017044515122e-10,1.7266185029695458,1.4594280753064313,2.0427258494193623,supp_cas,Casual Companionship,Intercept
close_catDistant,-0.8759887448264253,0.30101671576949424,-2.91010000088241,0.0036131312998790143,0.4164500532116366,0.2308512979103351,0.7512656345875822,supp_cas,Casual Companionship,Closeness: Distant (vs. Close)
close_catLess Close,-0.33092800381316834,0.08811654973174715,-3.7555715109206056,1.72946369090561e-4,0.7182568789355392,0.6043290520142685,0.8536623258781236,supp_cas,Casual Companionship,Closeness: Less Close (vs. Close)
close_catEspecially Close,-1.4214639959505877,0.04302625696454249,-33.03712886579936,2.38108878903507e-239,0.24136040745964824,0.22184075826672636,0.26259758010313744,supp_cas,Casual Companionship,Closeness: Especially Close (vs. Close)
freq_catLess than Monthly,0.3237278864596482,0.1379827850013493,2.3461469230127694,0.01896862856049388,1.382271121250637,1.0547266437002458,1.8115342625084079,supp_cas,Casual Companionship,Frequency: Less than Monthly (vs. Weekly)
freq_catMonthly,0.24235672280752488,0.06412531960441588,3.779423234107911,1.5719204467613536e-4,1.274248665312398,1.1237497635396247,1.4449032282205008,supp_cas,Casual Companionship,Frequency: Monthly (vs. Weekly)
